"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","New Jersey Devils","21","1014.7167","12","7","2","12","26","0.619","975","971","50.10","678","703","49.09","468","464","50.21","42","40","51.22","42.47","40.46","51.21","442","422","51.16","182","177","50.70","21","22","48.84","17.95","80.18","8.97","91.38","1.004"
"2","Buffalo Sabres","18","840.5667","8","9","1","7","17","0.472","845","773","52.22","589","555","51.49","371","398","48.24","41","37","52.56","31.08","32.04","49.24","364","365","49.93","135","145","48.21","19","19","50.00","26.03","79.35","11.05","90.70","1.018"
"3","St Louis Blues","20","990.7333","8","11","1","8","17","0.425","911","1001","47.65","630","714","46.88","436","476","47.81","36","52","40.91","35.88","42.88","45.56","414","480","46.31","162","186","46.55","14","25","35.90","13.46","78.07","8.26","89.08","0.973"
"4","Seattle Kraken","19","902.7","9","9","1","8","19","0.500","877","903","49.27","625","627","49.92","400","415","49.08","35","36","49.30","33.24","37.88","46.74","369","401","47.92","151","159","48.71","20","23","46.51","23.81","77.67","8.75","91.33","1.001"
"5","Boston Bruins","20","905.05","8","9","3","8","19","0.475","805","867","48.15","563","632","47.11","379","434","46.62","31","34","47.69","37.31","36.15","50.78","394","383","50.71","153","146","51.17","16","18","47.06","15.84","80.43","8.18","92.17","1.003"
"6","Florida Panthers","19","915.7167","12","6","1","11","25","0.658","913","815","52.84","653","619","51.34","443","407","52.12","45","41","52.33","39.15","35.57","52.39","393","355","52.54","153","159","49.04","23","21","52.27","22.55","78.57","10.16","89.93","1.001"
"7","Chicago Blackhawks","19","926.7333","6","12","1","5","13","0.342","817","1007","44.79","579","677","46.10","408","444","47.89","29","34","46.03","33.73","41.05","45.10","340","445","43.31","129","178","42.02","16","23","41.03","19.28","80.51","7.11","92.34","0.995"
"8","Utah Hockey Club","18","859.0833","7","8","3","7","17","0.472","905","754","54.55","611","550","52.63","381","395","49.10","35","35","50.00","37.08","33.98","52.18","383","325","54.10","142","128","52.59","18","13","58.06","18.75","85.39","9.19","91.14","1.003"
"9","Toronto Maple Leafs","19","882.15","11","6","2","11","24","0.632","862","891","49.17","602","603","49.96","418","411","50.42","36","28","56.25","36.51","34.38","51.50","385","375","50.66","160","130","55.17","23","12","65.71","20.18","84.81","8.61","93.19","1.018"
"10","Montreal Canadiens","19","874.55","7","10","2","7","16","0.421","784","936","45.58","527","653","44.66","356","430","45.29","35","49","41.67","35.19","44.36","44.23","393","432","47.64","141","182","43.65","16","19","45.71","18.18","82.57","9.83","88.60","0.984"
"11","New York Rangers","17","817.25","12","4","1","12","25","0.735","807","854","48.59","604","613","49.63","407","420","49.21","41","29","58.57","40.19","37.02","52.05","402","402","50.00","167","164","50.45","19","15","55.88","16.24","86.11","10.07","93.10","1.032"
"12","Pittsburgh Penguins","21","1033.0167","7","10","4","6","18","0.429","1131","1067","51.46","792","781","50.35","529","555","48.80","39","60","39.39","53.91","50.91","51.43","511","524","49.37","239","231","50.85","24","29","45.28","16.67","82.74","7.37","89.19","0.966"
"13","Winnipeg Jets","19","945.4333","16","3","0","16","32","0.842","910","936","49.30","672","691","49.30","468","452","50.87","43","32","57.33","38.19","40.97","48.25","398","411","49.20","156","166","48.45","20","16","55.56","19.61","84.62","9.19","92.92","1.021"
"14","Edmonton Oilers","20","1002.0167","10","8","2","10","22","0.550","1096","868","55.80","780","613","55.99","549","421","56.60","37","39","48.68","47.37","38.45","55.20","526","409","56.26","202","148","57.71","21","17","55.26","14.89","79.52","6.74","90.74","0.975"
"15","Calgary Flames","19","925.1333","10","6","3","8","23","0.605","930","958","49.26","632","660","48.92","428","462","48.09","31","26","54.39","35.27","38.69","47.69","413","430","48.99","153","150","50.50","13","15","46.43","13.83","84.21","7.24","94.37","1.016"
"16","Vancouver Canucks","18","868.15","9","6","3","9","21","0.583","863","778","52.59","606","579","51.14","406","391","50.94","41","40","50.62","35.46","30.72","53.58","368","326","53.03","157","130","54.70","18","19","48.65","17.48","76.54","10.10","89.77","0.999"
"17","Colorado Avalanche","19","916.5333","10","9","0","10","20","0.526","982","816","54.62","649","557","53.81","438","374","53.94","33","43","43.42","39.52","34.76","53.20","463","362","56.12","172","165","51.04","15","28","34.88","12.10","73.08","7.53","88.50","0.960"
"18","Vegas Golden Knights","18","919.3667","11","5","2","11","24","0.667","905","1021","46.99","669","726","47.96","483","458","51.33","50","46","52.08","41.48","46.13","47.35","411","455","47.46","167","185","47.44","26","19","57.78","23.01","81.55","10.35","89.96","1.003"
"19","Los Angeles Kings","19","890.55","10","6","3","10","23","0.605","915","811","53.01","658","540","54.92","431","358","54.63","43","31","58.11","40.05","30.29","56.93","401","360","52.69","168","134","55.63","25","16","60.98","25.25","80.95","9.98","91.34","1.013"
"20","Ottawa Senators","18","854.7667","8","9","1","8","17","0.472","897","771","53.78","650","528","55.18","453","365","55.38","33","39","45.83","35.12","30.19","53.77","386","372","50.92","128","127","50.20","13","22","37.14","14.77","76.09","7.28","89.32","0.966"
"21","Detroit Red Wings","18","898.0833","7","9","2","7","16","0.444","785","955","45.11","541","689","43.98","351","461","43.23","22","34","39.29","29.42","35.69","45.18","354","419","45.80","124","149","45.42","11","12","47.83","14.10","85.88","6.27","92.62","0.989"
"22","New York Islanders","19","950.1333","7","7","5","5","19","0.500","920","930","49.73","675","651","50.90","453","440","50.73","33","30","52.38","39.15","36.83","51.53","423","418","50.30","167","168","49.85","24","15","61.54","22.02","87.07","7.28","93.18","1.005"
"23","Dallas Stars","17","809.6333","11","6","0","10","22","0.647","852","723","54.10","601","533","53.00","423","348","54.86","38","26","59.38","37.87","33.16","53.32","395","340","53.74","170","134","55.92","19","13","59.38","16.38","83.95","8.98","92.53","1.015"
"24","Nashville Predators","19","888.6667","6","10","3","6","15","0.395","878","863","50.43","623","630","49.72","411","437","48.47","21","43","32.81","35.61","37.55","48.67","387","397","49.36","158","159","49.84","14","20","41.18","16.47","83.19","5.11","90.16","0.953"
"25","Columbus Blue Jackets","18","873.1667","7","9","2","7","16","0.444","907","844","51.80","646","603","51.72","437","395","52.52","44","42","51.16","40.17","37.64","51.63","395","384","50.71","164","174","48.52","22","23","48.89","20.18","80.51","10.07","89.37","0.994"
"26","Minnesota Wild","18","885.6333","12","3","3","12","27","0.750","806","845","48.82","567","590","49.01","394","392","50.13","40","24","62.50","30.53","29.89","50.53","340","356","48.85","135","127","51.53","16","12","57.14","18.18","84.21","10.15","93.88","1.040"
"27","San Jose Sharks","20","940.5667","6","10","4","6","16","0.400","866","1087","44.34","620","779","44.32","428","517","45.29","30","46","39.47","33.83","47.49","41.60","364","508","41.74","150","203","42.49","11","19","36.67","11.70","84.30","7.01","91.10","0.981"
"28","Tampa Bay Lightning","17","813.55","10","6","1","10","21","0.618","780","736","51.45","548","517","51.46","354","365","49.24","39","29","57.35","33.31","31.47","51.42","366","311","54.06","154","129","54.42","18","18","50.00","19.35","81.63","11.02","92.05","1.031"
"29","Carolina Hurricanes","17","796.2","13","4","0","13","26","0.765","952","640","59.80","695","466","59.86","431","328","56.79","43","28","60.56","45.12","31.68","58.75","471","315","59.92","199","145","57.85","25","12","67.57","18.52","88.12","9.98","91.46","1.014"
"30","Washington Capitals","18","857.3333","13","4","1","13","27","0.750","828","895","48.06","612","597","50.62","399","395","50.25","59","35","62.77","42.04","38.89","51.95","409","383","51.64","180","158","53.25","30","22","57.69","27.27","79.82","14.79","91.14","1.059"
"31","Philadelphia Flyers","19","884.35","8","9","2","5","18","0.474","784","953","45.14","560","639","46.71","384","406","48.61","32","46","41.03","32.75","38.72","45.82","365","442","45.23","135","159","45.92","10","22","31.25","11.63","78.00","8.33","88.67","0.970"
"32","Anaheim Ducks","18","870.4333","8","8","2","8","18","0.500","869","1088","44.40","628","770","44.92","401","504","44.31","31","34","47.69","38.29","50.39","43.18","383","501","43.33","157","215","42.20","18","19","48.65","18.56","86.03","7.73","93.25","1.010"
